,lat,lon,power,geometry
8661578399,63.5294069,29.0456548,9.37,POINT (29.0456548 63.5294069)
8661598578,63.4246451,28.8679182,-50.0,POINT (28.8679182 63.4246451)
8661869117,61.1041701,22.1665275,,POINT (22.1665275 61.1041701)
8661869141,61.1289473,22.1244106,-254.0,POINT (22.1244106 61.1289473)
8960679277,62.3805788,21.2396944,-555.0,POINT (21.2396944 62.3805788)
9215083692,60.166663,23.9675368,186.39,POINT (23.9675368 60.166663)
9244361621,62.7154704,29.0912712,-161.0,POINT (29.0912712 62.7154704)
9315860509,63.6771066,27.4877828,-36.0,POINT (27.4877828 63.6771066)
9338582017,65.7568881,24.526268,30.24,POINT (24.526268 65.7568881)
9338582042,65.7523788,24.5801834,7.03,POINT (24.5801834 65.7523788)
9422370488,64.2957936,25.8206528,15.08,POINT (25.8206528 64.2957936)
9510316607,62.2929372,27.1649823,-179.0,POINT (27.1649823 62.2929372)
9650996572,66.1658133,27.771898,119.74,POINT (27.771898 66.1658133)
9675572383,61.356766,24.2483711,-75.0,POINT (24.2483711 61.356766)
9875973160,61.3581774,22.0232467,-76.0,POINT (22.0232467 61.3581774)
10035810249,61.1886805,25.3619538,-86.0,POINT (25.3619538 61.1886805)
10068402040,60.5885598,22.0749745,-32.0,POINT (22.0749745 60.5885598)
10068402043,60.5847016,22.0653641,-76.0,POINT (22.0653641 60.5847016)
